Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [StrainOrLine]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
MDAMB157	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB157	EFO	EFO_0001206	Ge	P-TABM-797	MDAMB157	P-TABM-799	MDAMB157	total_RNA	P-TABM-804	MDAMB157 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB157_hyb	A-AFFY-33	P-AFFY-6	MDAMB157	EFO	EFO_0001206	023_MDA-MB157.U133A.CEL	023_MDA-MB157.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
BT474	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	BT474	EFO	EFO_0001093	Gray Lab	P-TABM-807	BT474	P-TABM-799	BT474	total_RNA	P-TABM-804	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_hyb	A-AFFY-33	P-AFFY-6	BT474	EFO	EFO_0001093	01.BT474.U133A.CEL	01.BT474.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB134VI	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB134VI	EFO	EFO_0001205	Georgetown	P-TABM-797	MDAMB134VI	P-TABM-799	MDAMB134VI	total_RNA	P-TABM-804	MDAMB134VI biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB134VI_hyb	A-AFFY-33	P-AFFY-6	MDAMB134VI	EFO	EFO_0001205	024_MDA-MB134-VI.U133A.CEL	024_MDA-MB134-VI.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC70	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC70	EFO	EFO_0001181	Adi gazdar	P-TABM-807	HCC70	P-TABM-799	HCC70	total_RNA	P-TABM-804	HCC70 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC70_hyb	A-AFFY-33	P-AFFY-6	HCC70	EFO	EFO_0001181	02. HCC70.CEL	02._HCC70.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
ZR7530	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	ZR7530	EFO	EFO_0001263	Georgetown	P-TABM-807	ZR7530	P-TABM-799	ZR7530	total_RNA	P-TABM-804	ZR7530 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR7530_hyb	A-AFFY-33	P-AFFY-6	ZR7530	EFO	EFO_0001263	034_ZR75-30.U133A.CEL	034_ZR75-30.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB436	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB436	EFO	EFO_0001214	Georgetown	P-TABM-803	MDAMB436	P-TABM-799	MDAMB436	total_RNA	P-TABM-804	MDAMB436 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB436_hyb	A-AFFY-33	P-AFFY-6	MDAMB436	EFO	EFO_0001214	032_MDA-MB436.U133A.CEL	032_MDA-MB436.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
BT483	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	BT483	EFO	EFO_0001095	Georgetown	P-TABM-807	BT483	P-TABM-799	BT483	total_RNA	P-TABM-804	BT483 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT483_hyb	A-AFFY-33	P-AFFY-6	BT483	EFO	EFO_0001095	11_BT483.U133A.CEL	11_BT483.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
BT20	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	BT20	EFO	EFO_0001092	Georgetown	P-TABM-797	BT20	P-TABM-799	BT20	total_RNA	P-TABM-804	BT20 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT20_hyb	A-AFFY-33	P-AFFY-6	BT20	EFO	EFO_0001092	10_BT20.U133A.CEL	10_BT20.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
CAMA1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	CAMA1	EFO	EFO_0001100	Gray Lab	P-TABM-797	CAMA1	P-TABM-799	CAMA1	total_RNA	P-TABM-804	CAMA1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	CAMA1_hyb	A-AFFY-33	P-AFFY-6	CAMA1	EFO	EFO_0001100	044_CAMA-1.U133A.CEL	044_CAMA-1.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB415	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB415	EFO	EFO_0001212	Georgetown	P-TABM-797	MDAMB415	P-TABM-799	MDAMB415	total_RNA	P-TABM-804	MDAMB415 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB415_hyb	A-AFFY-33	P-AFFY-6	MDAMB415	EFO	EFO_0001212	030_MDA-MB415.U133A.CEL	030_MDA-MB415.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
LY2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	LY2	EFO	EFO_0001199	Georgetown	P-TABM-797	LY2	P-TABM-799	LY2	total_RNA	P-TABM-804	LY2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	LY2_hyb	A-AFFY-33	P-AFFY-6	LY2	EFO	EFO_0001199	09.LY2.U133A.CEL	09.LY2.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1937	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1937	EFO	EFO_0001174	Adi gazdar	P-TABM-807	HCC1937	P-TABM-799	HCC1937	total_RNA	P-TABM-804	HCC1937 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1937_hyb	A-AFFY-33	P-AFFY-6	HCC1937	EFO	EFO_0001174	022_HCC1937.U133A.CEL	022_HCC1937.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
ZR75B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	ZR75B	EFO	EFO_0001264	Georgetown	P-TABM-807	ZR75B	P-TABM-799	ZR75B	total_RNA	P-TABM-804	ZR75B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR75B_hyb	A-AFFY-33	P-AFFY-6	ZR75B	EFO	EFO_0001264	10. ZR-75-B.CEL	10._ZR-75-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC3153	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC3153	EFO	EFO_0001179	Adi gazdar	P-TABM-807	HCC3153	P-TABM-799	HCC3153	total_RNA	P-TABM-804	HCC3153 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC3153_hyb	A-AFFY-33	P-AFFY-6	HCC3153	EFO	EFO_0001179	017_HCC3153.U133A.CEL	017_HCC3153.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1954	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1954	EFO	EFO_0001175	Adi gazdar	P-TABM-807	HCC1954	P-TABM-799	HCC1954	total_RNA	P-TABM-804	HCC1954 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1954_hyb	A-AFFY-33	P-AFFY-6	HCC1954	EFO	EFO_0001175	015_HCC1954.U133A.CEL	015_HCC1954.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC202	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC202	EFO	EFO_0001176	Adi gazdar	P-TABM-807	HCC202	P-TABM-799	HCC202	total_RNA	P-TABM-804	HCC202 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC202_hyb	A-AFFY-33	P-AFFY-6	HCC202	EFO	EFO_0001176	016_HCC202.U133A.CEL	016_HCC202.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM185PE	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM185PE	EFO	EFO_0001242	Steve Ethier	P-TABM-801	SUM185PE	P-TABM-799	SUM185PE	total_RNA	P-TABM-804	SUM185PE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM185PE_hyb	A-AFFY-33	P-AFFY-6	SUM185PE	EFO	EFO_0001242	041_SUM-185PE.U133A.CEL	041_SUM-185PE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.2.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
