Cell HMS LINCS ID	Cell Name	Clinical Subtype	Transcriptional Subtype	Small Molecule HMS LINCS ID	Small Molecule HMS LINCS ID	Antibody HMS LINCS ID	Antibody Name	Perturbagen Target	Perturbagen Class	Biological Replicate ID	Conc Unit	GR50	GEC50	GRmax	GRinf	GR Hill Coefficient	GR_AOC	GR r2	Nominal Division Rate
51092-1	600MPE	HR+	Luminal	10267-101-1	NU6102			CDK1/2	CDK	12224.147	uM	13.3589	16.5191	-0.9366	-0.93846	4.9766	0.17395	0.99585	0.8621
51092-1	600MPE	HR+	Luminal	10513-999-1	Nelfinavir					13091.174	uM	7.8967	11.8971	-0.88854	-1	2.6806	0.23373	0.97606	0.7967
51092-1	600MPE	HR+	Luminal	10099-101-2	Nilotinib			ABL	nRTK	12224.145	uM	Inf	Inf	0.98941	0.98941	0	-0.024908	-0.6099	0.9737
51092-1	600MPE	HR+	Luminal	10268-101-1	Nutlin 3a			MDM2	MDM2	5898.066	uM	21.5743	55.2293	-0.11365	-1	1.1687	0.20408	0.82544	0.6097
51092-1	600MPE	HR+	Luminal	10268-101-1	Nutlin 3a			MDM2	MDM2	5899.066	uM	42.4744	128.7188	0.29661	-1	0.99087	0.15297	0.68056	0.7056
51092-1	600MPE	HR+	Luminal	10344-101-1	Olomoucine II			CDK1	CDK	12224.147	uM	5.5817	10.4306	-0.8385	-0.87673	1.6199	0.40769	0.9941	0.8621
51092-1	600MPE	HR+	Luminal	10269-101-1	Oxaliplatin			DNA cross-linker	DNA cross-linker	9118.011	uM	12.8043	29.1307	-0.52193	-0.66033	1.0241	0.40391	0.98348	1.0538
51092-1	600MPE	HR+	Luminal	10269-101-1	Oxaliplatin			DNA cross-linker	DNA cross-linker	9120.021	uM	16.8933	40.5802	-0.95696	-1	1.2536	0.4435	0.98859	0.6486
51092-1	600MPE	HR+	Luminal	10270-101-1	Oxamflatin			HDAC	HDAC	12224.147	uM	2.7922	7.3813	-0.98795	-1	1.1301	0.38282	0.98723	0.8621
51092-1	600MPE	HR+	Luminal	10271-101-2	PD 98059			MEK	MAPK	12224.152	uM	124.175	Inf	0.67465	-1	0.6156	0.060531	0.8626	1.0761
51092-1	600MPE	HR+	Luminal	10026-101-3	PD173074			FGFR1/3	RTK	5898.093	uM	7.8256	10.4872	-0.97999	-1	3.7527	0.30298	0.92671	0.6963
51092-1	600MPE	HR+	Luminal	10048-101-7	PD184352			MEK	MAPK	12224.155	uM	Inf	Inf	0.6879	0.6879	0	0.18773	0.13728	1.0378
51092-1	600MPE	HR+	Luminal	10048-101-7	PD184352			MEK	MAPK	12224.155	uM	Inf	Inf	0.6879	0.6879	0	0.18773	0.13728	1.0378
51092-1	600MPE	HR+	Luminal	10514-102-1	PS-1145			IKK	NFKB	5898.065	uM	Inf	Inf	0.98975	0.98975	0	0.14298	0	0.6845
51092-1	600MPE	HR+	Luminal	10514-102-1	PS-1145			IKK	NFKB	5899.065	uM	Inf	Inf	0.84905	0.84905	0	0.11818	1.614e-05	1.0946
51092-1	600MPE	HR+	Luminal	10272-999-1	Pemetrexed			TYMS/DHFR/GARFT	TYMS	5898.095	uM	Inf	Inf	0.30763	0.30763	0	0.68768	-7.627e-07	0.6975
51092-1	600MPE	HR+	Luminal	10272-999-1	Pemetrexed			TYMS/DHFR/GARFT	TYMS	5899.094	uM	Inf	Inf	1.05	1.05	0	-0.016669	-0.17539	1.0334
51092-1	600MPE	HR+	Luminal	10273-101-1	Purvalanol A			CDK1	CDK	5898.067	uM	Inf	Inf	0.88371	0.88371	0	0.086652	0.13558	0.6532
51092-1	600MPE	HR+	Luminal	10273-101-1	Purvalanol A			CDK1	CDK	5899.067	uM	27.8192	110.7119	-0.17212	-1	0.7954	0.25104	0.90033	0.9897
51092-1	600MPE	HR+	Luminal	10515-101-1	QNZ			NFkB	NFKB	5898.096	uM	Inf	0.065848	0.6881	0.67109	4.7174	0.15277	0.91448	0.6718
51092-1	600MPE	HR+	Luminal	10052-101-3	Sirolimus			MTOR	MTOR	5899.068	uM	Inf	0.026676	0.58181	0.64509	2.3199	0.2344	0.93097	1.0389
51092-1	600MPE	HR+	Luminal	10052-101-3	Sirolimus			MTOR	MTOR	7791.068	uM	0.15062	0.040022	-0.020932	0.17371	0.32205	0.49255	0.73328	0.8032
51092-1	600MPE	HR+	Luminal	10274-101-1	SB-3CT			MMP2/9	MMP	12224.144	uM	Inf	Inf	0.84416	0.84416	0	0.13703	-0.16366	1.021
51092-1	600MPE	HR+	Luminal	10056-101-2	Selumetinib			MEK	MAPK	12224.155	uM	0.53417	0.1023	0.28882	0.30135	0.5585	0.33219	0.96527	1.0378
51092-1	600MPE	HR+	Luminal	10035-109-2	Sigma A6730			AKT	AKT	12224.165	uM	6.566	13.2976	-0.93705	-1	1.5568	0.36107	0.96095	0.9714
51092-1	600MPE	HR+	Luminal	10008-104-3	Sorafenib			PDGFR/VEGFR/KIT/FLT3	RTK	5898.085	uM	57.2615	86.2051	-0.98962	-1	2.6854	0.35123	0.9042	0.7048
51092-1	600MPE	HR+	Luminal	10008-104-3	Sorafenib			PDGFR/VEGFR/KIT/FLT3	RTK	5899.084	uM	211.3409	1000	0.17063	-0.43196	0.40062	0.19098	0.71743	1.1144
51092-1	600MPE	HR+	Luminal	10175-106-3	Sunitinib			PDGFR/VEGFR/KIT/FLT3	RTK	5898.067	uM	5.2971	7.5322	-0.99861	-1	3.1208	0.57566	0.93697	0.6532
51092-1	600MPE	HR+	Luminal	10175-106-3	Sunitinib			PDGFR/VEGFR/KIT/FLT3	RTK	5899.067	uM	2.3783	4.9312	-0.99953	-1	1.5066	0.60791	0.98886	0.9897
51092-1	600MPE	HR+	Luminal	10519-101-1	TAPI-0			TACE/Collagenase		5898.096	uM	89.2479	Inf	0.67704	-0.9738	0.56843	0.054074	0.91214	0.6718
51092-1	600MPE	HR+	Luminal	10276-101-1	TCS 2312			CHK1	CHK	12224.152	uM	0.80859	1.0329	-0.58509	-0.52287	2.9236	0.42466	0.99107	1.0761
51092-1	600MPE	HR+	Luminal	10520-101-1	TCS PIM-1 1			Pim kinase	PIM	12224.135	uM	Inf	Inf	0.7869	0.7869	0	0.099297	0.127	1.0314
51092-1	600MPE	HR+	Luminal	10136-101-2	TPCA-1			IKK	NFKB	5898.093	uM	Inf	Inf	0.57203	0.57203	0	0.1719	0.063121	0.6963
51092-1	600MPE	HR+	Luminal	10102-101-3	Taxol			TUBB	TUBB	9118.002	uM	0.073992	0.026505	0.39168	0.39195	1.4923	0.32152	0.98695	0.988
51092-1	600MPE	HR+	Luminal	10277-101-1	Temsirolimus			MTOR	MTOR	12224.144	uM	5.4779	75.4202	-0.3435	-1	0.41894	0.34472	0.8258	1.021
51092-1	600MPE	HR+	Luminal	10021-101-5	Tozasertib			AURK/FLT3/ABL/JAK2	AURK	12224.16	uM	8.1844	11.6755	-0.57538	-0.69514	2.4529	0.1352	0.99835	0.7734
51092-1	600MPE	HR+	Luminal	10142-999-2	Trametinib			MEK	MAPK	7791.05	uM	0.0040161	0.0030411	0.060754	0.17344	1.5319	0.55038	0.97415	0.7929
51092-1	600MPE	HR+	Luminal	10142-999-2	Trametinib			MEK	MAPK	9118.012	uM	0.035826	0.019183	0.25173	0.25912	1.1692	0.3787	0.97826	1.0154
51092-1	600MPE	HR+	Luminal	10142-999-2	Trametinib			MEK	MAPK	9120.012	uM	0.0056377	0.0097006	-0.38233	-0.2547	0.7586	0.71065	0.96805	0.6867
51092-1	600MPE	HR+	Luminal	10279-101-1	Trichostatin A			HDAC	HDAC	5898.065	uM	4.7954	14.3461	-0.99271	-1	1.0025	0.97286	0.98099	0.6845
51092-1	600MPE	HR+	Luminal	10279-101-1	Trichostatin A			HDAC	HDAC	5899.065	uM	7.6202	14.489	-0.95197	-0.96007	1.6677	0.93775	0.98956	1.0946
51092-1	600MPE	HR+	Luminal	10280-101-1	Triciribine			AKT	AKT	5898.074	uM	0.57767	3.9687	-0.042251	-0.53543	0.37774	0.37875	0.96675	0.7134
51092-1	600MPE	HR+	Luminal	10280-101-1	Triciribine			AKT	AKT	5899.074	uM	0.63713	68.7481	0.034147	-1	0.23468	0.37482	0.95226	0.886
51092-1	600MPE	HR+	Luminal	10346-110-1	Valproic acid			HDAC	HDAC	12224.143	uM	1234.0887	1000	-0.082903	0.12621	1.3831	0.19132	0.83815	0.8349
51092-1	600MPE	HR+	Luminal	10281-101-1	Vinorelbine			TUBB	TUBB	7791.018	uM	0.075619	2.1659	-0.98633	-1	0.32747	0.566	0.70693	0.8558
51092-1	600MPE	HR+	Luminal	10281-101-1	Vinorelbine			TUBB	TUBB	9118.006	uM	2.6393	13.8879	-0.97726	-1	0.66162	0.7126	0.77284	1.1089
51092-1	600MPE	HR+	Luminal	10282-101-1	Vorinostat			HDAC	HDAC	5898.065	uM	45.5536	153.1115	-0.98682	-1	0.90624	0.81202	0.97901	0.6845
51092-1	600MPE	HR+	Luminal	10282-101-1	Vorinostat			HDAC	HDAC	5899.065	uM	85.578	253.3925	-0.95896	-1	1.0121	0.74403	0.97595	1.0946
51092-1	600MPE	HR+	Luminal	10283-101-1	XRP44X			ELK3	MAPK	12224.157	uM	Inf	0.72241	0.70693	0.67979	1.3565	0.15688	0.63413	1.0737
51092-1	600MPE	HR+	Luminal	10348-999-1	Z-Leu-Leu-Norvalinal			Proteasome	Proteasome	14197.189	uM	1.1252	1.5907	-0.69432	-0.65117	2.4088	0.51359	0.9951	1.3593
51092-1	600MPE	HR+	Luminal	10096-101-2	ZM-447439			AURK	AURK	12224.16	uM	Inf	0.71576	0.52322	0.67568	4.9996	0.12726	0.71308	0.7734
50091-1	AU565	HER2amp	Luminal	10275-101-1	(Z)-4-Hydroxytamoxifen			ESR1		7793.016	uM	42.5725	65.1651	-0.84971	-1	2.5806	0.23593	0.95186	1.1616
50091-1	AU565	HER2amp	Luminal	10275-101-1	(Z)-4-Hydroxytamoxifen			ESR1		7794.016	uM	10.7766	7.8941	0.067928	0.39454	5	0.16248	0.69851	1.9541
50091-1	AU565	HER2amp	Luminal	10236-101-1	17-AAG			HSP90	HSP90	7793.037	uM	0.053188	0.094839	-0.58596	-0.40802	1.0317	0.73608	0.96554	1.0948
50091-1	AU565	HER2amp	Luminal	10236-101-1	17-AAG			HSP90	HSP90	9146.037	uM	0.15634	3.6902	-0.91861	-1	0.34751	0.58191	0.80596	1.2617
50091-1	AU565	HER2amp	Luminal	10237-101-1	5-DFUR			TYMS	TYMS	10880.143	uM	16.7706	49.3415	-0.14928	-0.23162	0.35274	0.45851	0.89297	1.6077
50091-1	AU565	HER2amp	Luminal	10238-101-1	5-FU			TYMS	TYMS	7793.035	uM	7.1465	49.6887	-0.39504	-0.55127	0.38323	0.73045	0.97806	1.2119
50091-1	AU565	HER2amp	Luminal	10238-101-1	5-FU			TYMS	TYMS	7794.017	uM	3.6377	2.0004	0.092072	0.35191	2.0349	0.43686	0.88634	1.9851
50091-1	AU565	HER2amp	Luminal	10238-101-1	5-FU			TYMS	TYMS	9035.017	uM	234.2081	255.8909	0.035182	-0.031957	0.69974	0.34893	0.99303	2.2905
50091-1	AU565	HER2amp	Luminal	10239-101-1	AG1024			IGF1R	RTK	5900.066	uM	Inf	6.1247	0.88291	0.88288	4.9899	0.0098667	0.87592	2.7232
50091-1	AU565	HER2amp	Luminal	10239-101-1	AG1024			IGF1R	RTK	5901.066	uM	Inf	7.6168	0.86359	0.86348	4.6384	0.020761	0.8425	1.9445
50091-1	AU565	HER2amp	Luminal	10223-101-2	AG1478			EGFR	ErbB	7793.016	uM	3.4687	2.1145	0.26015	0.45791	5	0.18896	0.63087	1.1616
50091-1	AU565	HER2amp	Luminal	10223-101-2	AG1478			EGFR	ErbB	7794.016	uM	6.3434	7.1168	-0.41517	-0.38876	4.9996	0.34999	0.99756	1.9541
50091-1	AU565	HER2amp	Luminal	10240-101-1	AS-252424			PI3K	PI3K	10880.153	uM	19.3427	Inf	0.38696	-0.99998	0.34609	0.16243	0.90334	1.6896
50091-1	AU565	HER2amp	Luminal	10232-101-2	Dactolisib			PI3K	PI3K	10880.155	uM	0.27813	0.23011	0.52659	0.3062	5	0.30516	0.69529	1.5205
50091-1	AU565	HER2amp	Luminal	10343-101-1	Baicalein			Lipoxygenase	Metabolism	10880.072	uM	54.5942	140.5268	-0.11397	-1	1.162	0.13072	0.97209	1.6177
50091-1	AU565	HER2amp	Luminal	10343-101-1	Baicalein			Lipoxygenase	Metabolism	5900.072	uM	49.721	95.2503	-0.25657	-0.80517	1.4759	0.14071	0.99038	2.5162
50091-1	AU565	HER2amp	Luminal	10241-101-4	Bortezomib			Proteasome	Proteasome	14817.203	uM	0.0027782	0.0046451	-0.84106	-0.84344	1.9229	1.3693	0.99901	1.5445
50091-1	AU565	HER2amp	Luminal	10241-101-4	Bortezomib			Proteasome	Proteasome	14817.203	uM	0.0027782	0.0046451	-0.84106	-0.84344	1.9229	1.3693	0.99901	1.5445
50091-1	AU565	HER2amp	Luminal	10241-101-1	Bortezomib			Proteasome	Proteasome	5900.074	uM	0.0255	0.03474	-0.74203	-0.75759	2.9828	1.1668	0.99876	2.4189
50091-1	AU565	HER2amp	Luminal	10241-101-1	Bortezomib			Proteasome	Proteasome	5900.074	uM	0.0255	0.03474	-0.74203	-0.75759	2.9828	1.1668	0.99876	2.4189
50091-1	AU565	HER2amp	Luminal	10241-101-1	Bortezomib			Proteasome	Proteasome	5901.074	uM	0.019181	0.02631	-0.93387	-0.93404	3.3341	1.3219	0.9993	1.8718
50091-1	AU565	HER2amp	Luminal	10241-101-1	Bortezomib			Proteasome	Proteasome	5901.074	uM	0.019181	0.02631	-0.93387	-0.93404	3.3341	1.3219	0.9993	1.8718
50091-1	AU565	HER2amp	Luminal	10189-101-2	Bosutinib			Src	nRTK	10880.145	uM	3.0263	5.85	-0.93792	-1	1.6668	0.50001	0.97325	1.4751
50091-1	AU565	HER2amp	Luminal	10243-999-1	CGC-11047			Polyamine analogue		7793.018	uM	245.4025	372.2201	-0.91468	-0.93154	2.525	0.55168	0.90162	1.3186
50091-1	AU565	HER2amp	Luminal	10243-999-1	CGC-11047			Polyamine analogue		7794.018	uM	903.4584	1000	-0.59376	-0.33067	5	0.089535	0.84608	1.6812
50091-1	AU565	HER2amp	Luminal	10243-999-1	CGC-11047			Polyamine analogue		9035.018	uM	536.5993	1000	0.1872	-0.093546	0.27551	0.27293	0.81074	2.1555
50091-1	AU565	HER2amp	Luminal	10243-999-1	CGC-11047			Polyamine analogue		9146.122	uM	Inf	0.50973	0.55279	0.57115	1.227	0.13528	0.92046	1.3408
50091-1	AU565	HER2amp	Luminal	10246-101-1	CPT-11			TOP1	TOP	7793.007	uM	0.97073	1.8615	-0.67325	-0.67548	1.3129	0.48917	0.99468	1.3832
50091-1	AU565	HER2amp	Luminal	10246-101-1	CPT-11			TOP1	TOP	9035.077	uM	4.6253	5.8049	-0.18482	-0.19897	1.4748	0.23887	0.99565	2.3909
50091-1	AU565	HER2amp	Luminal	10246-101-1	CPT-11			TOP1	TOP	9146.121	uM	1.4074	2.1944	-0.62838	-0.60258	1.7804	0.43363	0.99747	1.1366
50091-1	AU565	HER2amp	Luminal	10242-101-1	Carboplatin			DNA cross-linker	DNA cross-linker	7793.011	uM	13.6643	31.5861	-0.97906	-1	1.3111	0.59839	0.99586	1.1456
50091-1	AU565	HER2amp	Luminal	10242-101-1	Carboplatin			DNA cross-linker	DNA cross-linker	9146.12	uM	8.7529	22.2396	-0.96963	-1	1.1781	0.64559	0.99476	1.1135
50091-1	AU565	HER2amp	Luminal			80078-1	Cetuximab	EGFR	ErbB	7793.018	uM	Inf	Inf	0.93178	0.93178	0	0.0067224	0.34772	1.3186
50091-1	AU565	HER2amp	Luminal			80078-1	Cetuximab	EGFR	ErbB	7794.018	uM	Inf	Inf	1.05	1.05	0	-0.05	-Inf	1.6812
50091-1	AU565	HER2amp	Luminal			80078-1	Cetuximab	EGFR	ErbB	9035.018	uM	Inf	Inf	0.90829	0.90829	0	0.029741	0.41616	2.1555
50091-1	AU565	HER2amp	Luminal			80078-1	Cetuximab	EGFR	ErbB	9146.122	uM	Inf	Inf	0.96935	0.96935	0	-0.040361	-1.9847	1.3408
50091-1	AU565	HER2amp	Luminal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	7793.035	uM	1.3196	2.7044	-0.97632	-0.96639	1.4995	0.68638	0.99419	1.2119
50091-1	AU565	HER2amp	Luminal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	7794.017	uM	3.2282	6.3196	-0.86251	-0.89509	1.5276	0.54283	0.99342	1.9851
50091-1	AU565	HER2amp	Luminal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	9035.017	uM	2.238	6.3191	-0.91085	-0.99764	1.0569	0.58248	0.99421	2.2905
50091-1	AU565	HER2amp	Luminal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	9146.049	uM	Inf	Inf	0.54847	0.54847	0	0.32934	0.079604	1.1054
50091-1	AU565	HER2amp	Luminal	10506-110-1	Dichloroacetate			PDK	PDK	13030.176	uM	Inf	Inf	0.8188	0.8188	0	0.015007	0.54966	0.9892
50091-1	AU565	HER2amp	Luminal	10507-999-1	Disulfiram			Proteasome	Proteasome	13030.174	uM	0.17478	0.16713	0.3533	0.10028	5	0.41653	0.81137	0.8615
50091-1	AU565	HER2amp	Luminal	10247-101-1	Docetaxel			TUBB	TUBB	13030.002	uM	0.00092142	0.0012816	-0.91039	-0.87722	3.0709	1.3116	0.99749	0.5732
50091-1	AU565	HER2amp	Luminal	10247-101-1	Docetaxel			TUBB	TUBB	7793.002	uM	0.0045859	0.0068979	-0.8647	-0.86401	2.4584	1.0405	0.99925	1.1545
50091-1	AU565	HER2amp	Luminal	10247-101-1	Docetaxel			TUBB	TUBB	9146.002	uM	0.0049754	0.0063606	-0.67332	-0.67667	3.4844	0.93986	0.99836	1.2611
50091-1	AU565	HER2amp	Luminal	10248-101-1	Doxorubicin			TOP2	TOP	7793.007	uM	0.093873	0.22089	-0.95287	-0.95591	1.249	0.93308	0.98873	1.3832
50091-1	AU565	HER2amp	Luminal	10248-101-1	Doxorubicin			TOP2	TOP	9035.077	uM	0.10927	0.29945	-0.90434	-0.88517	1.0108	0.81934	0.99163	2.3909
50091-1	AU565	HER2amp	Luminal	10248-101-1	Doxorubicin			TOP2	TOP	9146.121	uM	0.10032	0.22291	-0.98938	-0.99122	1.3687	0.97157	0.98128	1.1366
50091-1	AU565	HER2amp	Luminal	10249-999-1	Epirubicin			TOP2	TOP	7793.035	uM	0.12215	0.18964	-0.9918	-0.92166	2.3757	1.0184	0.99609	1.2119
50091-1	AU565	HER2amp	Luminal	10249-999-1	Epirubicin			TOP2	TOP	7794.017	uM	0.13634	0.3605	-0.94841	-0.87578	1.0409	0.86783	0.98982	1.9851
50091-1	AU565	HER2amp	Luminal	10249-999-1	Epirubicin			TOP2	TOP	9035.017	uM	0.15993	0.19598	-0.87934	-0.29704	2.2943	0.77749	0.59055	2.2905
50091-1	AU565	HER2amp	Luminal	10097-102-3	Erlotinib			EGFR	ErbB	5900.092	uM	22.1119	37.9934	0.17654	-0.8772	1.8718	0.057419	0.9942	2.6334
50091-1	AU565	HER2amp	Luminal	10097-102-3	Erlotinib			EGFR	ErbB	5901.091	uM	8.6922	14.6941	-0.3289	-0.50591	1.3314	0.18543	0.9974	1.9229
50091-1	AU565	HER2amp	Luminal	10250-101-1	Etoposide			TOP2	TOP	5900.074	uM	0.98749	1.5622	-0.55839	-0.4906	1.4905	0.60405	0.99549	2.4189
50091-1	AU565	HER2amp	Luminal	10250-101-1	Etoposide			TOP2	TOP	5901.074	uM	0.5118	1.0561	-0.70954	-0.66009	1.1618	0.74002	0.99629	1.8718
50091-1	AU565	HER2amp	Luminal	10235-101-2	Everolimus			MTOR	MTOR	10880.156	uM	0.57383	7.5124	-0.87883	-1	0.42715	0.45076	0.82687	1.5288
50091-1	AU565	HER2amp	Luminal	10110-101-1	FR180204			ERK1/2	MAPK	10880.149	uM	Inf	Inf	0.86784	0.86784	0	0.076557	0.13434	1.6289
50091-1	AU565	HER2amp	Luminal	10508-101-1	FTase Inhibitor I			Ftase	MAPK	10880.154	uM	Inf	Inf	0.92505	0.92505	0	0.04485	-0.166	1.7853
50091-1	AU565	HER2amp	Luminal	10251-112-1	Fascaplysin			CDK4	CDK	5900.085	uM	0.22253	0.5695	-0.73756	-0.78885	1.0076	0.57146	0.9983	2.6391
50091-1	AU565	HER2amp	Luminal	10251-112-1	Fascaplysin			CDK4	CDK	5901.084	uM	0.086743	0.20069	-0.94072	-0.92318	1.247	0.75479	0.99916	1.7402
50091-1	AU565	HER2amp	Luminal	10509-101-1	GM6001			MMP	MMP	5900.096	uM	Inf	Inf	0.92147	0.92147	0	0.044153	0.25614	2.7795
50091-1	AU565	HER2amp	Luminal	10062-101-3	GSK1070916			AURK	AURK	7793.001	uM	5.602	10.0959	-0.81286	-1	1.8652	0.24245	0.97152	1.1508
50091-1	AU565	HER2amp	Luminal	10062-101-3	GSK1070916			AURK	AURK	9035.001	uM	3.3129	Inf	0.12357	-1	0.26366	0.26407	0.83536	2.4291
50091-1	AU565	HER2amp	Luminal	10062-101-3	GSK1070916			AURK	AURK	9146.001	uM	2.5536	9.3018	-0.62912	-1	0.84986	0.36634	0.83482	1.2878
50091-1	AU565	HER2amp	Luminal	10255-101-1	GSK1838705A			IGF1R	RTK	5900.092	uM	3.6418	4.7547	-0.57478	-0.5782	2.8816	0.32673	0.99798	2.6334
50091-1	AU565	HER2amp	Luminal	10255-101-1	GSK1838705A			IGF1R	RTK	5900.098	uM	1.6893	2.7337	-0.80989	-0.78578	1.9622	0.42163	0.99806	2.2937
50091-1	AU565	HER2amp	Luminal	10255-101-1	GSK1838705A			IGF1R	RTK	5901.07	uM	9.9973	1.7358	0.39243	0.4038	0.94138	0.17922	0.95686	1.9178
50091-1	AU565	HER2amp	Luminal	10255-101-1	GSK1838705A			IGF1R	RTK	5901.091	uM	1.7011	1.3994	0.22193	0.31165	5	0.23293	0.76032	1.9229
50091-1	AU565	HER2amp	Luminal	10255-101-1	GSK1838705A			IGF1R	RTK	5901.098	uM	2.4721	4.0428	-0.86447	-0.87188	2.0519	0.42232	0.99879	1.8013
50091-1	AU565	HER2amp	Luminal	10146-101-2	Omipalisib			PI3K	PI3K	5900.086	uM	0.015355	0.015346	-0.049862	0.00016077	0.57396	0.5816	0.9732	2.1682
50091-1	AU565	HER2amp	Luminal	10013-101-3	GSK461364			PLK1	PLK	7793.001	uM	0.012323	0.014482	-0.9105	-0.62078	5	0.9168	0.91889	1.1508
50091-1	AU565	HER2amp	Luminal	10013-101-3	GSK461364			PLK1	PLK	9035.001	uM	0.00071451	0.00075909	0.21532	-0.17669	5	0.9858	0.79145	2.4291
50091-1	AU565	HER2amp	Luminal	10013-101-3	GSK461364			PLK1	PLK	9146.001	uM	0.011188	0.012741	-0.96783	-0.45768	5	0.86757	0.83041	1.2878
50091-1	AU565	HER2amp	Luminal	10257-101-1	GSK923295			CENPE	Kinesin	7793.001	uM	0.024053	0.028453	-0.74145	-0.65822	5	0.9064	0.98026	1.1508
50091-1	AU565	HER2amp	Luminal	10257-101-1	GSK923295			CENPE	Kinesin	9035.001	uM	0.022979	0.026649	-0.087505	-0.22113	2.4716	0.69364	0.96814	2.4291
50091-1	AU565	HER2amp	Luminal	10257-101-1	GSK923295			CENPE	Kinesin	9146.001	uM	0.020328	0.02649	-0.8927	-0.55865	2.8328	0.85856	0.94182	1.2878
50091-1	AU565	HER2amp	Luminal	10029-101-2	GW-5074			CRAF	MAPK	5900.088	uM	Inf	7.7581	0.64749	0.64725	4.9899	0.038322	0.98873	2.783
50091-1	AU565	HER2amp	Luminal	10098-101-2	Gefitinib			EGFR	ErbB	7793.016	uM	0.65307	1.6188	-0.68534	-0.74684	1.0066	0.43413	0.99202	1.1616
50091-1	AU565	HER2amp	Luminal	10098-101-2	Gefitinib			EGFR	ErbB	7794.016	uM	2.8925	6.5079	-0.18972	-0.49203	0.84493	0.21664	0.9973	1.9541
50091-1	AU565	HER2amp	Luminal	10098-101-2	Gefitinib			EGFR	ErbB	9146.049	uM	0.27923	2.309	-0.7753	-1	0.52005	0.56614	0.82208	1.1054
50091-1	AU565	HER2amp	Luminal	10108-101-2	Geldanamycin			HSP90	HSP90	7793.012	uM	0.059554	0.07345	-0.23013	-0.17742	1.4481	0.65282	0.98747	1.103
50091-1	AU565	HER2amp	Luminal	10108-101-2	Geldanamycin			HSP90	HSP90	9146.049	uM	0.025402	0.021974	0.049382	0.11337	1.774	0.64331	0.76452	1.1054
50091-1	AU565	HER2amp	Luminal	10252-101-1	Gemcitabine			DNA replication	DNA replication	7793.011	uM	0.013197	0.018396	-0.70516	-0.63938	2.4793	1.1485	0.99502	1.1456
50091-1	AU565	HER2amp	Luminal	10252-101-1	Gemcitabine			DNA replication	DNA replication	9146.12	uM	0.011722	0.014762	-0.6973	-0.66332	3.6621	1.1143	0.9852	1.1135
50091-1	AU565	HER2amp	Luminal	10253-102-1	Glycyl-H-1152			ROCK2		10880.15	uM	9.0719	75.6763	0.20091	-1	0.5179	0.16693	0.97973	1.5829
50091-1	AU565	HER2amp	Luminal	10259-101-1	ICRF-193			TOP2	TOP	10880.151	uM	1.0306	0.48809	0.26907	0.24258	0.88825	0.2612	0.98934	1.8509
50091-1	AU565	HER2amp	Luminal	10228-102-2	IKK16			IKK	NFKB	5900.093	uM	3.1101	4.8982	-0.77705	-0.79019	2.0869	0.36582	0.99801	2.3084
50091-1	AU565	HER2amp	Luminal	10258-110-1	Ibandronate			FDPS		10880.143	uM	190.4925	139.9574	0.2035	0.18596	1.5087	0.14798	0.97634	1.6077
50091-1	AU565	HER2amp	Luminal	10023-103-3	Imatinib			ABL/KIT/PDGFR	nRTK	5900.092	uM	25.1729	35.457	-0.75084	-0.75383	2.6838	0.36785	0.99954	2.6334
50091-1	AU565	HER2amp	Luminal	10023-103-3	Imatinib			ABL/KIT/PDGFR	nRTK	5901.091	uM	19.0484	28.4599	-0.87413	-0.885	2.5375	0.44597	0.99844	1.9229
50091-1	AU565	HER2amp	Luminal	10260-999-1	Ispinesib			KSP	Kinesin	5900.067	uM	0.02287	0.027205	-0.80453	-0.52916	4.159	0.82307	0.97926	2.4324
50091-1	AU565	HER2amp	Luminal	10260-999-1	Ispinesib			KSP	Kinesin	5901.067	uM	0.018016	0.022169	-0.90253	-0.72416	4.3172	0.95986	0.99336	1.8762
50091-1	AU565	HER2amp	Luminal	10261-101-1	Ixabepilone			TUBB	TUBB	5900.095	uM	0.006914	0.0084172	-0.93875	-0.67059	4.3242	1.0928	0.97189	2.188
50091-1	AU565	HER2amp	Luminal	10261-101-1	Ixabepilone			TUBB	TUBB	5901.095	uM	0.0025503	0.0031037	-0.94086	-0.6979	4.4494	1.2292	0.96617	1.9104
50091-1	AU565	HER2amp	Luminal	10208-101-2	JNK-IN-5A			JNK	JNK	10880.144	uM	Inf	Inf	0.65672	0.65672	0	0.27409	0.43571	1.8532
50091-1	AU565	HER2amp	Luminal	10262-101-1	L-779450			BRAF	MAPK	10880.149	uM	41.9763	Inf	0.5726	-0.99999	0.95025	0.053085	0.91467	1.6289
50091-1	AU565	HER2amp	Luminal	10263-101-1	LBH589			HDAC	HDAC	10880.154	uM	0.098399	0.14717	-0.83366	-0.84181	2.4521	0.7896	0.99835	1.7853
50091-1	AU565	HER2amp	Luminal	10051-999-3	Lapatinib			EGFR/HER2	ErbB	5900.098	uM	0.43942	0.39077	0.07049	0.072159	1.3282	0.25393	0.9959	2.2937
