,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
253,HCT-116,HCT-116,HCT 116,HCT116,CO:HCT_116,NA,HCT 116,HCT116,HCT-116,HCT_116,HCT-116,hct116,HCT116,HCT 116,HCT-116,large_intestine,large_intestine,colon,CO,NA,Colon,LARGE_INTESTINE,Intestin,large_intestine,digestive_system ,NA,colon,large_intestine,large_intestine,large_intestine,Colon,large_intestine,NA,NA
254,HCT-15,HCT-15,HCT-15,HCT15,CO:HCT_15,NA,HCT-15,NA,HCT-15,HCT-15,HCT-15,NA,HCT15,HCT-15,HCT-15,large_intestine,large_intestine,colon,CO,NA,Colon,NA,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,HCT15,large_intestine
255,HDLM-2,HDLM-2,HDLM-2,NA,NA,NA,NA,NA,HDLM-2,NA,HDLM-2,NA,HDLM2,NA,HDLM-2,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
256,HD-MY-Z,HD-MY-Z,HD-MY-Z,HDMYZ,NA,NA,NA,NA,HD-MY-Z,HD-MY-Z,HD-MY-Z,NA,HDMYZ,NA,HD-MY-Z,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
257,HEC-1,HEC-1,HEC-1-B,NA,NA,NA,NA,NA,HEC-1,HEC-1-B,HEC-1,NA,NA,HEC-1-B,HEC-1,endometrium,endometrium,NA,NA,NA,NA,NA,Uterus,endometrium,urogenital_system ,NA,NA,endometrium,endometrium,NA,Uterus,endometrium,NA,NA
258,HEL,HEL,HEL,NA,NA,NA,HEL,NA,HEL,HEL,HEL,NA,HEL,HEL,HEL,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
259,HeLaSF,HeLaSF,NA,NA,NA,NA,NA,NA,HeLaSF,NA,NA,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,NA,Cervix,NA,NA,NA,NA,cervix,cervix,NA,NA,cervix,NA,NA
260,H-EMC-SS,H-EMC-SS,NA,NA,NA,NA,NA,NA,H-EMC-SS,NA,H-EMC-SS,NA,NA,NA,H-EMC-SS,bone,NA,NA,NA,NA,NA,NA,Bone,NA,bone ,NA,NA,bone,bone,NA,NA,bone,NA,NA
261,HGC-27,HGC-27,HGC-27,NA,NA,NA,HGC-27,NA,HGC-27,HGC-27,HGC-27,NA,HGC27,HGC-27,HGC-27,stomach,stomach,NA,NA,NA,Stomach,NA,Stomach,stomach,digestive_system ,NA,NA,stomach,stomach,stomach,Stomach,stomach,NA,NA
262,HH,HH,HH,HH,NA,NA,NA,NA,HH,HH,HH,NA,HH,HH,HH,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
263,HL-60,HL-60,HL-60,HL60,LE:HL_60,NA,HL-60,NA,HL-60,HL-60,HL-60,NA,HL60,HL-60,HL-60,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,LE,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
264,HLE,HLE,HLE,NA,NA,NA,NA,NA,HLE,NA,HLE,NA,NA,NA,HLE,liver,liver,NA,NA,NA,NA,NA,Liver,NA,digestive_system ,NA,NA,liver,liver,NA,NA,liver,NA,NA
265,HMV-II,HMV-II,NA,NA,NA,NA,NA,NA,HMV-II,NA,HMV-II,NA,NA,HMVII,HMV-II,skin,NA,NA,NA,NA,NA,NA,Skin,NA,skin ,NA,NA,skin,skin,NA,Skin,skin,NA,NA
266,HN,HN,HN,NA,NA,NA,HN,NA,HN,NA,HN,NA,NA,HN,HN,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,Oral Cavity,NA,Head & Neck,NA,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,Head and Neck,upper_aerodigestive_tract,NA,NA
267,HO-1-N-1,HO-1-N-1,NA,NA,NA,NA,NA,NA,HO-1-N-1,NA,HO-1-N-1,NA,NA,HO-1-N-1,HO-1-N-1,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,Head & Neck,NA,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,NA,NA
268,HOP-62,HOP-62,HOP-62,HOP62,LC:HOP_62,NA,HOP-62,NA,HOP-62,HOP-62,HOP-62,NA,HOP62,HOP-62,HOP-62,lung,NA,lung,LC,NA,Lung,NA,Lung,lung,lung ,NA,NA,lung,lung,NA,Lung,lung,HOP62,NA
269,HOP-92,HOP-92,HOP-92,HOP92,LC:HOP_92,NA,HOP-92,NA,HOP-92,HOP-92,HOP-92,NA,HOP92,HOP-92,HOP-92,lung,NA,lung,LC,NA,Lung,NA,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,NA,Lung,lung,HOP92,NA
270,HOS,HOS,HOS,HOS,NA,NA,NA,NA,HOS,HOS,HOS,NA,HOS,NA,HOS,bone,bone,sarcoma,NA,NA,NA,NA,Bone,bone,bone ,NA,NA,bone,bone,bone,NA,bone,HOS,bone
271,HPAF-II,HPAF-II,HPAF-II,HPAFII,NA,NA,HPAF-II,NA,HPAF-II,HPAF-II,HPAF-II,NA,HPAFII,HPAF-II,HPAF-II,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,HPAFII,pancreas
272,Hs-578-T,Hs-578-T,Hs 578T,NA,BR:HS578T,HS578T,Hs 578T,NA,Hs-578-T,Hs_578T,Hs-578-T,hs578t,HS578T,Hs 578T,Hs-578-T,breast,breast,NA,BR,breast,Breast,NA,breast,breast,breast ,8-hs578t///HS578T,breast,breast,breast,breast,Breast,breast,NA,NA
273,HSC-2,HSC-2,HSC-2,NA,NA,NA,NA,HSC2,HSC-2,HSC-2,HSC-2,NA,HSC2,HSC-2,HSC-2,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,HSC2,upper_aerodigestive_tract
274,HSC-3,HSC-3,HSC-3,NA,NA,NA,NA,NA,HSC-3,HSC-3,HSC-3,NA,HSC3,HSC-3,HSC-3,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,NA,Head & Neck,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,HSC3,upper_aerodigestive_tract
275,HSC-4,HSC-4,HSC-4,NA,NA,NA,NA,NA,HSC-4,HSC-4,HSC-4,NA,HSC4,HSC-4,HSC-4,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,NA,Head & Neck,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,HSC4,upper_aerodigestive_tract
276,HT,HT,HT,HT,NA,NA,HT,HT,NA,HT,HT,NA,HT,HT,HT,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
277,HT-1080,HT-1080,HT-1080,HT1080,NA,NA,HT-1080,HT1080,HT-1080,HT-1080,NA,NA,HT1080,HT-1080,HT-1080,soft_tissue,soft_tissue,connective_tissue,NA,NA,Lung,SOFT_TISSUE,Miscellaneous,soft_tissue,NA,NA,NA,soft_tissue,soft_tissue,soft_tissue,Bone,soft_tissue,NA,NA
278,HT-1197,HT-1197,HT-1197,HT1197,NA,NA,NA,NA,HT-1197,HT-1197,HT-1197,NA,HT1197,NA,HT-1197,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,HT1197,urinary_tract
279,HT-1376,HT-1376,HT-1376,HT1376,NA,NA,NA,HT1376,HT-1376,HT-1376,HT-1376,NA,HT1376,NA,HT-1376,urinary_tract,urinary_tract,bladder,NA,NA,NA,URINARY_TRACT,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,HT1376,urinary_tract
280,HT-144,HT-144,HT-144,NA,NA,NA,HT-144,NA,HT-144,HT-144,HT-144,NA,HT144,HT-144,HT-144,skin,skin,NA,NA,NA,Skin,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,NA,skin,HT144,skin
281,HT-29,HT-29,HT-29,HT29,CO:HT29,NA,HT-29,HT29,HT-29,HT-29,HT-29,NA,HT29,HT-29,HT-29,large_intestine,large_intestine,colon,CO,NA,Colon,LARGE_INTESTINE,Intestin,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,HT29,large_intestine
282,HT-3,HT-3,NA,HT3,NA,NA,NA,NA,HT-3,NA,HT-3,NA,NA,HT-3,HT-3,cervix,NA,cervix_uteri,NA,NA,NA,NA,Cervix,NA,urogenital_system ,NA,NA,cervix,cervix,NA,Cervix,cervix,NA,NA
283,HT55,HT55,HT55,NA,NA,NA,HT-55,HT55,HT55,HT55,HT55,NA,HT55,HT-55,HT55,large_intestine,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,HT55,large_intestine
284,HTC-C3,HTC-C3,NA,NA,NA,NA,NA,NA,HTC-C3,NA,HTC-C3,NA,NA,NA,HTC-C3,thyroid,NA,NA,NA,NA,NA,NA,Thyroid,NA,thyroid ,NA,NA,thyroid,thyroid,NA,NA,thyroid,NA,NA
285,HuCCT1,HuCCT1,HuCCT1,NA,NA,NA,NA,NA,HuCCT1,HuCCT1,HuCCT1,NA,HUCCT1,HuCCT1,HuCCT1,biliary_tract,biliary_tract,NA,NA,NA,NA,NA,Liver,biliary_tract,digestive_system ,NA,NA,biliary_tract,biliary_tract,biliary_tract,Liver,biliary_tract,NA,NA
286,HuH-28,HuH-28,HuH28,NA,NA,NA,NA,NA,NA,NA,NA,NA,HUH28,NA,NA,biliary_tract,biliary_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA,HUH28,biliary_tract
287,HUH-6-clone5,HUH-6-clone5,HuH-6,NA,NA,NA,NA,NA,NA,HuH-6,HUH-6-clone5,NA,HUH6,NA,NA,liver,liver,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,liver,liver,liver,NA,liver,NA,NA
288,HuH-7,HuH-7,HuH-7,NA,NA,NA,HuH-7,NA,HuH-7,HuH-7,HuH-7,NA,NA,HUH-7,HuH-7,liver,liver,NA,NA,NA,Liver,NA,Liver,liver,digestive_system ,NA,NA,liver,liver,NA,Liver,liver,NA,NA
289,HuNS1,HuNS1,HuNS1,HUNS1,NA,NA,NA,NA,NA,HuNS1,NA,NA,HUNS1,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
290,HuO-3N1,HuO-3N1,NA,NA,NA,NA,NA,NA,HuO-3N1,NA,HuO-3N1,NA,NA,NA,HuO-3N1,bone,NA,NA,NA,NA,NA,NA,Bone,NA,bone ,NA,NA,bone,bone,NA,NA,bone,NA,NA
291,HuO9,HuO9,NA,NA,NA,NA,NA,NA,HuO9,NA,HuO9,NA,NA,NA,HuO9,bone,NA,NA,NA,NA,NA,NA,Bone,NA,bone ,NA,NA,bone,bone,NA,NA,bone,NA,NA
292,HuP-T3,HuP-T3,HUP-T3,NA,NA,NA,HUP-T3,NA,HuP-T3,HUP-T3,HuP-T3,NA,HUPT3,HUP-T3,HuP-T3,pancreas,pancreas,NA,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,HUPT3,pancreas
293,HuP-T4,HuP-T4,HUP-T4,HUPT4,NA,NA,HUP-T4,HUPT4,HuP-T4,HUP-T4,HuP-T4,NA,HUPT4,HUP-T4,HuP-T4,pancreas,pancreas,pancreas,NA,NA,Pancreas,PANCREAS,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,HUPT4,pancreas
294,HUTU-80,HUTU-80,HuTu 80,NA,NA,NA,NA,NA,HUTU-80,HuTu_80,NA,NA,NA,NA,HUTU-80,small_intestine,small_intestine,NA,NA,NA,NA,NA,Intestine,small_intestine,NA,NA,NA,small_intestine,small_intestine,NA,NA,small_intestine,NA,NA
295,IA-LM,IA-LM,IA-LM,NA,NA,NA,NA,NA,IA-LM,IA-LM,IA-LM,NA,IALM,NA,IA-LM,lung,lung,NA,NA,NA,NA,NA,Lung,lung,lung ,NA,NA,lung,lung,lung,NA,lung,IALM,lung
296,IGR-1,IGR-1,IGR-1,NA,NA,NA,NA,NA,IGR-1,IGR-1,IGR-1,NA,IGR1,IGR-1,IGR-1,skin,skin,NA,NA,NA,NA,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,IGR1,skin
297,IGROV-1,IGROV-1,IGROV1,IGROV1,OV:IGROV1,NA,IGROV-1,IGROV1,IGROV-1,IGROV1,IGROV-1,NA,IGROV1,IGROV-1,IGROV-1,ovary,ovary,ovary,OV,NA,Ovary,OVARY,Ovary,ovary,urogenital_system ,NA,NA,ovary,ovary,ovary,Ovary,ovary,IGROV1,ovary
298,IM-9,IM-9,NA,NA,NA,NA,NA,NA,IM-9,NA,NA,NA,NA,NA,IM-9,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
299,IMR-5,IMR-5,NA,NA,NA,NA,NA,NA,IMR-5,NA,IMR-5,NA,NA,NA,IMR-5,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system ,NA,NA,autonomic_ganglia,autonomic_ganglia,NA,NA,autonomic_ganglia,NA,NA
300,IPC-298,IPC-298,IPC-298,NA,NA,NA,IPC-298,NA,IPC-298,IPC-298,IPC-298,NA,IPC298,IPC-298,IPC-298,skin,skin,NA,NA,NA,Skin,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,IPC298,skin
301,IST-MEL1,IST-MEL1,NA,NA,NA,NA,NA,NA,IST-MEL1,NA,IST-MEL1,NA,NA,NA,IST-MEL1,skin,NA,NA,NA,NA,NA,NA,Skin,NA,skin ,NA,NA,skin,skin,NA,NA,skin,NA,NA
302,IST-MES1,IST-MES1,IST-MES1,NA,NA,NA,NA,NA,IST-MES1,IST-MES1,IST-MES1,NA,ISTMES1,NA,IST-MES1,pleura,pleura,NA,NA,NA,NA,NA,Lung,pleura,lung ,NA,NA,pleura,pleura,pleura,NA,pleura,ISTMES1,pleura
303,IST-SL1,IST-SL1,NA,NA,NA,NA,NA,NA,IST-SL1,NA,IST-SL1,NA,NA,NA,IST-SL1,lung,NA,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,NA,lung,lung,NA,NA,lung,NA,NA
304,IST-SL2,IST-SL2,NA,NA,NA,NA,NA,NA,IST-SL2,NA,IST-SL2,NA,NA,NA,IST-SL2,lung,NA,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,NA,lung,lung,NA,NA,lung,NA,NA
305,ITO-II,ITO-II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,testis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,testis,testis,NA,NA,NA,NA,NA
306,J82,J82,J82,J82,NA,NA,NA,NA,J82,J82,J82,NA,J82,NA,J82,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,J82,urinary_tract
307,JAR,JAR,NA,JAR,NA,NA,NA,NA,JAR,NA,JAR,NA,NA,NA,JAR,testis,NA,placenta,NA,NA,NA,NA,Miscellaneous,NA,urogenital_system ,NA,NA,testis,testis,NA,NA,testis,NA,NA
308,JEG-3,JEG-3,NA,JEG3,NA,NA,NA,NA,JEG-3,NA,JEG-3,NA,NA,NA,JEG-3,placenta,NA,placenta,NA,NA,NA,NA,Uterus,NA,urogenital_system ,NA,NA,placenta,placenta,NA,NA,placenta,NA,NA
309,JiyoyeP-2003,JiyoyeP-2003,NA,JIYOYE,NA,NA,NA,NA,JiyoyeP-2003,NA,NA,NA,NA,NA,JiyoyeP-2003,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
310,J-RT3-T3-5,J-RT3-T3-5,NA,JRT3T35,NA,NA,NA,NA,J-RT3-T3-5,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
311,JVM-2,JVM-2,JVM-2,NA,NA,NA,NA,NA,JVM-2,JVM-2,NA,NA,JVM2,JVM-2,JVM-2,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
312,JVM-3,JVM-3,JVM-3,JVM3,NA,NA,NA,NA,JVM-3,JVM-3,NA,NA,JVM3,NA,JVM-3,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
313,K052,K052,KO52,NA,NA,NA,NA,NA,K052,NA,KO52,NA,KO52,NA,KO52,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
314,K5,K5,NA,NA,NA,NA,NA,NA,K5,NA,K5,NA,NA,NA,K5,thyroid,NA,NA,NA,NA,NA,NA,thyroid,NA,thyroid ,NA,NA,thyroid,thyroid,NA,NA,thyroid,NA,NA
315,K-562,K-562,K-562,K562,LE:K_562,NA,K-562,NA,K-562,K-562,K-562,NA,K562,K-562,K-562,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,LE,NA,Blood,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
316,KALS-1,KALS-1,KALS-1,NA,NA,NA,NA,NA,KALS-1,KALS-1,KALS-1,NA,KALS1,KALS-1,KALS-1,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system,KALS1,central_nervous_system
317,KARPAS-299,KARPAS-299,KARPAS-299,NA,NA,NA,NA,NA,KARPAS-299,KARPAS-299,KARPAS-299,NA,KARPAS299,KARPAS-299,KARPAS-299,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
318,KARPAS-422,KARPAS-422,KARPAS-422,NA,NA,NA,KARPAS-422,NA,KARPAS-422,KARPAS-422,KARPAS-422,NA,KARPAS422,KARPAS-422,KARPAS-422,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
319,KARPAS-45,KARPAS-45,NA,NA,NA,NA,NA,NA,KARPAS-45,NA,KARPAS-45,NA,NA,NA,KARPAS-45,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
320,KASUMI-1,KASUMI-1,KASUMI-1,NA,NA,NA,Kasumi-1,NA,KASUMI-1,KASUMI-1,KASUMI-1,NA,KASUMI1,Kasumi-1,KASUMI-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
321,KATOIII,KATOIII,KATO III,KATOIII,NA,NA,KATO III,NA,KATOIII,KATO_III,KATOIII,NA,KATOIII,KATO III,KATOIII,stomach,stomach,stomach,NA,NA,Stomach,NA,Stomach,stomach,NA,NA,NA,stomach,stomach,stomach,NA,stomach,KATOIII,stomach
322,KE-37,KE-37,KE-37,NA,NA,NA,NA,NA,KE-37,KE-37,KE-37,NA,KE37,NA,KE-37,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
323,KG-1,KG-1,KG-1,KG1,NA,NA,KG-1,NA,KG-1,KG-1,KG-1,NA,NA,KG-1,KG-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
324,KGN,KGN,NA,NA,NA,NA,NA,NA,KGN,NA,KGN,NA,NA,NA,KGN,ovary,NA,NA,NA,NA,NA,NA,Ovary,NA,urogenital_system ,NA,NA,ovary,ovary,NA,NA,ovary,NA,NA
325,KINGS-1,KINGS-1,NA,NA,NA,NA,NA,NA,KINGS-1,NA,KINGS-1,NA,NA,KINGS-1,KINGS-1,central_nervous_system,NA,NA,NA,NA,NA,NA,CNS,NA,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,NA,Brain,central_nervous_system,NA,NA
326,KLE,KLE,KLE,KLE,NA,NA,KLE,KLE,KLE,KLE,KLE,NA,KLE,KLE,KLE,endometrium,endometrium,uterus,NA,NA,Uterus,ENDOMETRIUM,Uterus,endometrium,urogenital_system ,NA,NA,endometrium,endometrium,endometrium,Uterus,endometrium,KLE,endometrium
327,KM12,KM12,KM12,KM12,CO:KM12,NA,KM-12,KM12,KM12,KM12,KM12,NA,KM12,KM-12,KM12,large_intestine,large_intestine,colon,CO,NA,Colon,LARGE_INTESTINE,large_intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,NA,NA
328,KM-H2,KM-H2,KM-H2,NA,NA,NA,NA,NA,KM-H2,KM-H2,KM-H2,NA,KMH2,NA,KM-H2,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
